# source, target, weight, layer
0,1,1,1
0,16,1,1
0,19,1,1
0,1,1,2
0,3,1,2
0,7,1,2
0,16,1,2
0,16,1,3
0,38,1,3
0,39,1,3
0,40,1,3
0,55,1,3
0,56,1,3
1,0,1,1
1,5,1,1
1,16,1,1
1,19,1,1
1,21,1,1
1,23,1,1
1,25,1,1
1,15,1,2
1,16,1,2
1,21,1,2
1,25,1,2
1,6,1,3
1,9,1,3
1,15,1,3
1,16,1,3
1,21,1,3
1,25,1,3
1,28,1,3
1,33,1,3
1,43,1,3
1,44,1,3
1,52,1,3
1,61,1,3
1,63,1,3
2,1,1,1
2,5,1,1
2,13,1,1
2,16,1,1
2,17,1,1
2,27,1,1
2,29,1,1
2,13,1,3
2,17,1,3
2,24,1,3
2,27,1,3
2,29,1,3
2,34,1,3
3,0,1,1
3,1,1,1
3,2,1,1
3,5,1,1
3,8,1,1
3,11,1,1
3,12,1,1
3,13,1,1
3,16,1,1
3,18,1,1
3,19,1,1
3,20,1,1
3,21,1,1
3,23,1,1
3,25,1,1
3,27,1,1
3,28,1,1
3,1,1,2
3,2,1,2
3,8,1,2
3,10,1,2
3,11,1,2
3,13,1,2
3,15,1,2
3,16,1,2
3,18,1,2
3,20,1,2
3,21,1,2
3,22,1,2
3,25,1,2
3,26,1,2
3,28,1,2
3,11,1,3
3,13,1,3
3,16,1,3
3,18,1,3
3,19,1,3
3,20,1,3
3,21,1,3
3,22,1,3
3,23,1,3
3,25,1,3
3,27,1,3
3,28,1,3
3,30,1,3
3,33,1,3
3,36,1,3
3,39,1,3
3,44,1,3
3,45,1,3
3,51,1,3
3,60,1,3
3,61,1,3
3,69,1,3
4,0,1,1
4,5,1,1
4,10,1,1
4,17,1,1
4,6,1,2
4,17,1,2
4,24,1,2
4,17,1,3
4,23,1,3
4,27,1,3
4,30,1,3
4,31,1,3
4,32,1,3
4,37,1,3
4,38,1,3
4,49,1,3
4,50,1,3
4,53,1,3
4,57,1,3
4,58,1,3
4,62,1,3
5,23,1,3
5,24,1,3
5,27,1,3
5,29,1,3
5,30,1,3
5,31,1,3
5,32,1,3
5,37,1,3
5,42,1,3
5,45,1,3
5,49,1,3
5,50,1,3
5,53,1,3
5,57,1,3
5,58,1,3
5,62,1,3
5,64,1,3
5,67,1,3
6,1,1,1
6,9,1,1
6,27,1,1
6,33,1,1
6,2,1,2
6,4,1,2
6,1,1,3
6,2,1,3
6,4,1,3
6,17,1,3
6,43,1,3
6,62,1,3
7,0,1,1
7,10,1,1
7,10,1,2
8,10,1,1
8,11,1,1
8,16,1,1
8,3,1,2
8,10,1,2
8,20,1,2
8,22,1,2
8,23,1,2
8,26,1,2
8,3,1,3
8,11,1,3
8,15,1,3
8,19,1,3
8,28,1,3
8,44,1,3
8,48,1,3
8,59,1,3
9,1,1,1
9,15,1,1
9,16,1,1
9,23,1,1
9,25,1,1
9,28,1,1
9,33,1,1
9,1,1,2
9,7,1,2
9,8,1,2
9,10,1,2
9,11,1,2
9,12,1,2
9,16,1,2
9,20,1,2
9,23,1,2
9,25,1,2
9,26,1,2
9,28,1,2
9,33,1,2
9,37,1,2
9,7,1,3
9,19,1,3
9,23,1,3
9,25,1,3
9,28,1,3
9,30,1,3
9,33,1,3
