dataset,motif,measure,count,time,threshold
aarhus,1,1,23,0,0.6
aarhus,1,2,6,0,0.6
aarhus,1,3,3,0,0.6
aarhus,2,1,10,0,0.6
aarhus,2,2,2,0,0.6
aarhus,2,3,1,0,0.6
aarhus,3,1,6,0,0.6
aarhus,3,2,1,0,0.6
aarhus,3,3,1,0,0.6
aarhus,4,1,0,0,0.6
aarhus,4,2,0,0,0.6
aarhus,4,3,0,0,0.6
ecoil_all_conditions,1,1,3079,232,0.6
ecoil_all_conditions,1,2,67,5005,0.6
ecoil_all_conditions,1,3,40,2256,0.6
ecoil_all_conditions,2,1,44449,1532294,0.6
ecoil_all_conditions,2,2,426,1532294,0.6
ecoil_all_conditions,2,3,18,532235,0.6
ecoil_all_conditions,3,1,1114,299,0.6
ecoil_all_conditions,3,2,19,806,0.6
ecoil_all_conditions,3,3,9,707,0.6
ecoil_all_conditions,4,1,0,23,0.6
ecoil_all_conditions,4,2,0,23,0.6
ecoil_all_conditions,4,3,0,23,0.6
ecoil_cold,1,1,2901,175,0.6
ecoil_cold,1,2,69,4166,0.6
ecoil_cold,1,3,35,2354,0.6
ecoil_cold,2,1,44538,1420,0.6
ecoil_cold,2,2,434,1183284,0.6
ecoil_cold,2,3,17,546508,0.6
ecoil_cold,3,1,962,339,0.6
ecoil_cold,3,2,19,627,0.6
ecoil_cold,3,3,10,687,0.6
ecoil_cold,4,1,0,24,0.6
ecoil_cold,4,2,0,37,0.6
ecoil_cold,4,3,0,23,0.6
ecoil_control,1,1,2955,180,0.6
ecoil_control,1,2,71,3586,0.6
ecoil_control,1,3,35,2188,0.6
ecoil_control,2,1,43958,1492,0.6
ecoil_control,2,2,430,981918,0.6
ecoil_control,2,3,18,378613,0.6
ecoil_control,3,1,994,228,0.6
ecoil_control,3,2,19,504,0.6
ecoil_control,3,3,8,370,0.6
ecoil_control,4,1,0,17,0.6
ecoil_control,4,2,0,18,0.6
ecoil_control,4,3,0,18,0.6
ecoil_heat,1,1,2393,101,0.6
ecoil_heat,1,2,83,2604,0.6
ecoil_heat,1,3,45,1648,0.6
ecoil_heat,2,1,24017,593,0.6
ecoil_heat,2,2,371,362753,0.6
ecoil_heat,2,3,21,109984,0.6
ecoil_heat,3,1,692,175,0.6
ecoil_heat,3,2,20,340,0.6
ecoil_heat,3,3,9,223,0.6
ecoil_heat,4,1,1,36,0.6
ecoil_heat,4,2,1,28,0.6
ecoil_heat,4,3,1,17,0.6
ecoil_lactose,1,1,3267,399,0.7
ecoil_lactose,1,2,115,5322,0.7
ecoil_lactose,1,3,52,2781,0.7
ecoil_lactose,2,1,47172,1825,0.7
ecoil_lactose,2,2,487,1733182,0.7
ecoil_lactose,2,3,28,663272,0.7
ecoil_lactose,3,1,1253,426,0.7
ecoil_lactose,3,2,30,949,0.7
ecoil_lactose,3,3,9,634,0.7
ecoil_lactose,4,1,1,34,0.7
ecoil_lactose,4,2,1,28,0.7
ecoil_lactose,4,3,1,24,0.7
ecoil_oxidative,1,1,3062,172,0.7
ecoil_oxidative,1,2,85,5724,0.7
ecoil_oxidative,1,3,43,3472,0.7
ecoil_oxidative,2,1,45328,1632,0.7
ecoil_oxidative,2,2,450,1529785,0.7
ecoil_oxidative,2,3,25,578895,0.7
ecoil_oxidative,3,1,1038,270,0.7
ecoil_oxidative,3,2,23,580,0.7
ecoil_oxidative,3,3,11,485,0.7
ecoil_oxidative,4,1,0,23,0.7
ecoil_oxidative,4,2,0,22,0.7
ecoil_oxidative,4,3,0,22,0.7
eu_airlines,1,1,38,5,0.05
eu_airlines,1,2,5,10,0.05
eu_airlines,1,3,2,21,0.05
eu_airlines,2,1,43,6,0.05
eu_airlines,2,2,4,6,0.05
eu_airlines,2,3,2,9,0.05
eu_airlines,3,1,37,6,0.05
eu_airlines,3,2,2,6,0.05
eu_airlines,3,3,1,5,0.05
eu_airlines,4,1,0,4,0.05
eu_airlines,4,2,0,4,0.05
eu_airlines,4,3,0,4,0.05
law,1,1,2524,24,0.6
law,1,2,165,1188,0.6
law,1,3,20,480,0.6
law,2,1,6356,55,0.6
law,2,2,122,5501,0.6
law,2,3,14,3023,0.6
law,3,1,8723,72,0.6
law,3,2,125,9744,0.6
law,3,3,16,5687,0.6
law,4,1,521,20,0.6
law,4,2,76,83,0.6
law,4,3,14,43,0.6
london_transport,1,1,11,2,0.3
london_transport,1,2,9,2,0.3
london_transport,1,3,8,2,0.3
london_transport,2,1,0,4,0.3
london_transport,2,2,0,3,0.3
london_transport,2,3,0,3,0.3
london_transport,3,1,5,4,0.3
london_transport,3,2,4,2,0.3
london_transport,3,3,3,6,0.3
london_transport,4,1,0,2,0.3
london_transport,4,2,0,2,0.3
london_transport,4,3,0,2,0.3
